"protein","entry_name","description","gene_names","family","expression_tissue"
"O15127","SCAM2_HUMAN","Secretory carrier-associated membrane protein 2","SCAMP2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15146","MUSK_HUMAN","Muscle, skeletal receptor tyrosine-protein kinase","MUSK","TM(RTK)","BAT\Muscle\Pancreas\Skin\Thymus\Tongue"
"O15165","LRAD4_HUMAN","Low-density lipoprotein receptor class A domain-containing protein 4","LDLRAD4 C18orf1","TM","Adrenal\Brain\Eye\Liver\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Thymus\Tongue\Urinary"
"O15173","PGRC2_HUMAN","Membrane-associated progesterone receptor component 2","PGRMC2 DG6 PMBP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15229","KMO_HUMAN","Kynurenine 3-monooxygenase","KMO","TM","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\SCAT\Skin\Small\Spleen\Thymus\Tongue\Urinary"
"O15239","NDUA1_HUMAN","NADH dehydrogenase 1 alpha subcomplex subunit 1","NDUFA1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15243","OBRG_HUMAN","Leptin receptor gene-related protein","LEPROT LEPR OBR","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15244","S22A2_HUMAN","Solute carrier family 22 member 2","SLC22A2 OCT2","TM(Trans)","Adrenal\Brain\Eye\GAT\Kidney\Muscle\Pancreas\Spleen"
"O15245","S22A1_HUMAN","Solute carrier family 22 member 1","SLC22A1 OCT1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\MAT\Muscle\Pancreas\Prostate\SCAT\Small\Spleen\Stomach\Tongue\Urinary"
"O15258","RER1_HUMAN","Protein RER1","RER1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15260","SURF4_HUMAN","Surfeit locus protein 4","SURF4 SURF-4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15269","SPTC1_HUMAN","Serine palmitoyltransferase 1","SPTLC1 LCB1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15270","SPTC2_HUMAN","Serine palmitoyltransferase 2","SPTLC2 KIAA0526 LCB2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15303","GRM6_HUMAN","Metabotropic glutamate receptor 6","GRM6 GPRC1F MGLUR6","TM(GPCR)","Adrenal\BAT\Eye\GAT\Kidney\Liver\MAT\Muscle\Thymus"
"O15321","TM9S1_HUMAN","Transmembrane 9 superfamily member 1","TM9SF1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15354","GPR37_HUMAN","Prosaposin receptor GPR37","GPR37","TM(GPCR)","Brain\Eye\Kidney\Prostate\Skin\Small\Stomach\Testis"
"O15374","MOT5_HUMAN","Monocarboxylate transporter 5","SLC16A4 MCT4 MCT5","TM(Trans)","Eye\Kidney\Pancreas\Urinary"
"O15393","TMPS2_HUMAN","Transmembrane protease serine 2","TMPRSS2 PRSS10","TM","Kidney\Lung\Prostate\Small\Stomach\Thymus\Urinary"
"O15394","NCAM2_HUMAN","Neural cell adhesion molecule 2","NCAM2 NCAM21","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O15399","NMDE4_HUMAN","Glutamate receptor ionotropic, NMDA 2D","GRIN2D GluN2D NMDAR2D","TM(IC)","Brain\GAT\Heart\Thymus"
"O15403","MOT7_HUMAN","Monocarboxylate transporter 7","SLC16A6 MCT6 MCT7","TM(Trans)","Brain\Eye\GAT\Kidney\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus"
"O15427","MOT4_HUMAN","Monocarboxylate transporter 4","SLC16A3 MCT3 MCT4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15431","COPT1_HUMAN","High affinity copper uptake protein 1","SLC31A1 COPT1 CTR1","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15432","COPT2_HUMAN","Protein SLC31A2","SLC31A2 COPT2 CTR2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15438","MRP3_HUMAN","ATP-binding cassette sub-family C member 3","ABCC3 CMOAT2 MLP2 MRP3","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15439","MRP4_HUMAN","ATP-binding cassette sub-family C member 4","ABCC4 MOATB MRP4","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15440","MRP5_HUMAN","ATP-binding cassette sub-family C member 5","ABCC5 MRP5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15455","TLR3_HUMAN","Toll-like receptor 3","TLR3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15466","SIA8E_HUMAN","Alpha-2,8-sialyltransferase 8E","ST8SIA5 SIAT8E","TM","Adrenal\Brain\Eye\Muscle\Skin\Tongue"
"O15503","INSI1_HUMAN","Insulin-induced gene 1 protein","INSIG1","TM","Adrenal\BAT\Brain\Eye\Kidney\Liver\MAT\SCAT\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O15533","TPSN_HUMAN","Tapasin","TAPBP NGS17 TAPA","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O15551","CLD3_HUMAN","Claudin-3","CLDN3 C7orf1 CPETR2","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O15552","FFAR2_HUMAN","Free fatty acid receptor 2","FFAR2 FFA2 GPCR43 GPR43","TM(GPCR)","Adrenal\GAT\MAT\SCAT\Skin\Small\Spleen\Thymus"
"O15554","KCNN4_HUMAN","Intermediate conductance calcium-activated potassium channel protein 4","KCNN4 IK1 IKCA1 KCA4 SK4","TM(IC)","GAT\MAT\Prostate\SCAT\Small\Spleen\Stomach\Thymus\Urinary"
"O43155","FLRT2_HUMAN","Leucine-rich repeat transmembrane protein FLRT2","FLRT2 KIAA0405 UNQ232/PRO265","TM","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43157","PLXB1_HUMAN","Plexin-B1","PLXNB1 KIAA0407 PLXN5 SEP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43169","CYB5B_HUMAN","Cytochrome b5 type B","CYB5B CYB5M OMB5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43173","SIA8C_HUMAN","Alpha-N-acetylneuraminate alpha-2,8-sialyltransferase ST8SIA3","ST8SIA3 SIAT8C","TM","Adrenal\Brain\Eye\Heart\Testis"
"O43184","ADA12_HUMAN","Disintegrin and metalloproteinase domain-containing protein 12","ADAM12 MLTN UNQ346/PRO545","TM","Adrenal\BAT\GAT\MAT\SCAT\Skin\Thymus"
"O43246","CTR4_HUMAN","Cationic amino acid transporter 4","SLC7A4","TM(Trans)","Adrenal\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O43286","B4GT5_HUMAN","Beta-1,4-galactosyltransferase 5","B4GALT5","TM","Adrenal\Brain\Eye\Heart\Kidney\Liver\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue"
"O43291","SPIT2_HUMAN","Kunitz-type protease inhibitor 2","SPINT2 HAI2 KOP","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43292","GPAA1_HUMAN","GPI-anchor transamidase component GPAA1","GPAA1 GAA1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43315","AQP9_HUMAN","Aquaporin-9","AQP9 SSC1","TM(Trans)","Eye\GAT\Liver\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus"
"O43424","GRID2_HUMAN","Glutamate receptor ionotropic, delta-2","GRID2 GLURD2","TM(IC)","Brain\Eye\Lung\Stomach"
"O43462","MBTP2_HUMAN","Membrane-bound transcription factor site-2 protease","MBTPS2 S2P","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43464","HTRA2_HUMAN","Serine protease HTRA2, mitochondrial","HTRA2 OMI PRSS25","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43505","B4GA1_HUMAN","Beta-1,4-glucuronyltransferase 1","B4GAT1 B3GNT1 B3GNT6","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43508","TNF12_HUMAN","Tumor necrosis factor ligand superfamily member 12","TNFSF12 APO3L DR3LG UNQ181/PRO207","TM","Adrenal\Lung\MAT\Prostate\Spleen\Stomach\Thymus\Urinary"
"O43511","S26A4_HUMAN","Pendrin","SLC26A4 PDS","TM(Trans)","Adrenal\Eye\Kidney\Lung\Prostate\Urinary"
"O43520","AT8B1_HUMAN","Phospholipid-transporting ATPase IC","ATP8B1 ATPIC FIC1 PFIC","TM(Trans)","Adrenal\BAT\Eye\GAT\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43556","SGCE_HUMAN","Epsilon-sarcoglycan","SGCE ESG UNQ433/PRO840","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43557","TNF14_HUMAN","Tumor necrosis factor ligand superfamily member 14","TNFSF14 HVEML LIGHT UNQ391/PRO726","TM","GAT\Lung\MAT\SCAT\Spleen\Thymus"
"O43561","LAT_HUMAN","Linker for activation of T-cells family member 1","LAT","TM","BAT\GAT\Heart\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus"
"O43567","RNF13_HUMAN","E3 ubiquitin-protein ligase RNF13","RNF13 RZF","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43581","SYT7_HUMAN","Synaptotagmin-7","SYT7 PCANAP7","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43603","GALR2_HUMAN","Galanin receptor type 2","GALR2 GALNR2","TM(GPCR)","MAT\Small\Thymus"
"O43674","NDUB5_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 5, mitochondrial","NDUFB5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43676","NDUB3_HUMAN","NADH dehydrogenase 1 beta subcomplex subunit 3","NDUFB3","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43677","NDUC1_HUMAN","NADH dehydrogenase 1 subunit C1, mitochondrial","NDUFC1","TM(Trans)","BAT\Eye\Muscle\Tongue"
"O43688","PLPP2_HUMAN","Phospholipid phosphatase 2","PLPP2 LPP2 PPAP2C","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O43731","ERD23_HUMAN","ER lumen protein-retaining receptor 3","KDELR3 ERD23","TM(Trans)","Adrenal\Eye\GAT\Heart\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Stomach\Thymus\Urinary"
"O43736","ITM2A_HUMAN","Integral membrane protein 2A","ITM2A UNQ603/PRO1189","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Lung\MAT\Muscle\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43752","STX6_HUMAN","Syntaxin-6","STX6","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43759","SNG1_HUMAN","Synaptogyrin-1","SYNGR1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43760","SNG2_HUMAN","Synaptogyrin-2","SYNGR2 UNQ352/PRO615","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43761","SNG3_HUMAN","Synaptogyrin-3","SYNGR3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43772","MCAT_HUMAN","Mitochondrial carnitine/acylcarnitine carrier protein","SLC25A20 CAC CACT","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43808","PM34_HUMAN","Peroxisomal membrane protein PMP34","SLC25A17 PMP34","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43819","SCO2_HUMAN","Protein SCO2 homolog, mitochondrial","SCO2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O43825","B3GT2_HUMAN","Beta-1,3-galactosyltransferase 2","B3GALT2","TM","Adrenal\BAT\Brain\Eye\GAT\MAT\Prostate\SCAT\Skin\Small\Spleen\Thymus\Tongue\Urinary"
"O43914","TYOBP_HUMAN","TYRO protein tyrosine kinase-binding protein","TYROBP DAP12 KARAP","TM","Adrenal\GAT\Lung\MAT\SCAT\Spleen\Thymus"
"O43916","CHST1_HUMAN","Carbohydrate sulfotransferase 1","CHST1","TM","Adrenal\BAT\Brain\Eye\GAT\Lung\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Thymus\Urinary"
"O43934","MFS11_HUMAN","UNC93-like protein MFSD11","MFSD11 ET","TM","Adrenal\BAT\Eye\GAT\MAT\SCAT\Skin\Spleen"
"O60235","TM11D_HUMAN","Transmembrane protease serine 11D","TMPRSS11D HAT","TM","Eye\Spleen\Thymus\Tongue"
"O60238","BNI3L_HUMAN","BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like","BNIP3L BNIP3A BNIP3H NIX","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60241","AGRB2_HUMAN","Adhesion G protein-coupled receptor B2","ADGRB2 BAI2","TM(GPCR)","Adrenal\Brain\Eye\SCAT\Spleen"
"O60242","AGRB3_HUMAN","Adhesion G protein-coupled receptor B3","ADGRB3 BAI3 KIAA0550","TM(GPCR)","Adrenal\Brain\Eye\Prostate\Spleen"
"O60243","H6ST1_HUMAN","Heparan-sulfate 6-O-sulfotransferase 1","HS6ST1 HS6ST","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60266","ADCY3_HUMAN","Adenylate cyclase type 3","ADCY3 KIAA0511","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60312","AT10A_HUMAN","Phospholipid-transporting ATPase VA","ATP10A ATP10C ATPVA ATPVC KIAA0566","TM(Trans)","Adrenal\GAT\Lung\MAT\Prostate\SCAT\Skin\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60313","OPA1_HUMAN","Dynamin-like GTPase OPA1, mitochondrial","OPA1 KIAA0567","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60320","EREP2_HUMAN","Protein ENTREP2","ENTREP2 FAM189A1 KIAA0574 TMEM228","TM","Brain\Eye\Prostate"
"O60337","MARH6_HUMAN","E3 ubiquitin-protein ligase MARCHF6","MARCHF6 KIAA0597 MARCH6 RNF176 TEB4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60353","FZD6_HUMAN","Frizzled-6","FZD6","TM(GPCR)","Adrenal\BAT\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60359","CCG3_HUMAN","Voltage-dependent calcium channel gamma-3 subunit","CACNG3","TM(IC)","Brain\Eye\Spleen"
"O60423","AT8B3_HUMAN","Phospholipid-transporting ATPase IK","ATP8B3 ATP1K FOS37502_2","TM(Trans)","Lung\Prostate\Small\Stomach\Testis"
"O60427","FADS1_HUMAN","Acyl-CoA-desaturase fatty acid desaturase desaturase","FADS1 FADSD5","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60443","GSDME_HUMAN","Gasdermin-E","GSDME DFNA5 ICERE1","TM","Brain\Eye\GAT\Kidney\MAT\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60449","LY75_HUMAN","Lymphocyte antigen 75","LY75 CD205 CLEC13B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60462","NRP2_HUMAN","Neuropilin-2","NRP2 VEGF165R2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60469","DSCAM_HUMAN","Cell adhesion molecule DSCAM","DSCAM","TM","Brain\Eye\Liver\Lung\Pancreas\Prostate\Skin\Small\Spleen\Thymus"
"O60476","MA1A2_HUMAN","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","MAN1A2 MAN1B","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60486","PLXC1_HUMAN","Plexin-C1","PLXNC1 VESPR","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60488","ACSL4_HUMAN","Long-chain-fatty-acid--CoA ligase 4","ACSL4 ACS4 FACL4 LACS4","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60500","NPHN_HUMAN","Nephrin","NPHS1 NPHN","TM","Heart\Kidney\Spleen\Urinary"
"O60503","ADCY9_HUMAN","Adenylate cyclase type 9","ADCY9 KIAA0520","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60507","TPST1_HUMAN","Protein-tyrosine sulfotransferase 1","TPST1","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60512","B4GT3_HUMAN","Beta-1,4-galactosyltransferase 3","B4GALT3","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60513","B4GT4_HUMAN","Beta-1,4-galactosyltransferase 4","B4GALT4 UNQ552/PRO1109","TM","Adrenal\BAT\Brain\Eye\GAT\Kidney\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Urinary"
"O60636","TSN2_HUMAN","Tetraspanin-2","TSPAN2","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60637","TSN3_HUMAN","Tetraspanin-3","TSPAN3 TM4SF8","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60669","MOT2_HUMAN","Monocarboxylate transporter 2","SLC16A7 MCT2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60704","TPST2_HUMAN","Protein-tyrosine sulfotransferase 2","TPST2","TM","Adrenal\BAT\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60706","ABCC9_HUMAN","ATP-binding cassette sub-family C member 9","ABCC9 SUR2","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60721","NCKX1_HUMAN","Sodium/potassium/calcium exchanger 1/K/Ca-exchange protein 1","SLC24A1 KIAA0702 NCKX1","TM(Trans)","BAT\Eye\Liver\Small"
"O60733","PLPL9_HUMAN","85/88 kDa calcium-independent phospholipase A2","PLA2G6 PLPLA9","TM","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60741","HCN1_HUMAN","Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1","HCN1 BCNG1","TM(IC)","Brain\Eye\GAT\MAT\SCAT\Spleen\Urinary"
"O60779","S19A2_HUMAN","Thiamine transporter 1","SLC19A2 THT1 TRMA","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
"O60830","TI17B_HUMAN","Mitochondrial import inner membrane translocase subunit Tim17-B","TIMM17B TIM17B JM3","TM(Trans)","Adrenal\BAT\Brain\Eye\GAT\Heart\Kidney\Liver\Lung\MAT\Muscle\Pancreas\Prostate\SCAT\Skin\Small\Spleen\Stomach\Testis\Thymus\Tongue\Urinary"
